binom_alpha,word1,word2,count_w1,count_w2,count_and,count_w1_and,count_and_w2,count_w2_and,count_and_w1,p_and_given_w1,p_w2_given_and,p_and_given_w2,p_w1_given_and,bigram_alpha,bigram_nonalpha
clarinets and kazoos,clarinets,kazoos,18,0,2218200,4,0,0,0,0.009727626459143969,4.5071519487122165e-07,0.0020161290322580645,4.5071519487122165e-07,4.384389055167526e-09,9.086999896597211e-10
clay and emeralds,clay,emeralds,1574,123,2218200,159,11,29,75,0.07729468599033816,5.40858233845466e-06,0.048465266558966075,3.425435481021285e-05,4.180546735037418e-07,1.6601464366823675e-06
claymores and penknives,claymores,penknives,3,3,2218200,0,0,1,0,0.002004008016032064,4.5071519487122165e-07,0.004008016032064128,4.5071519487122165e-07,9.03236863469382e-10,1.806473726938764e-09
clearings and plateaus,clearings,plateaus,22,23,2218200,4,1,4,1,0.009652509652509652,9.014303897424433e-07,0.009633911368015413,9.014303897424433e-07,8.701065538054471e-09,8.68430047921429e-09
clearings and prairies,clearings,prairies,22,109,2218200,4,0,17,1,0.009652509652509652,4.5071519487122165e-07,0.02975206611570248,9.014303897424433e-07,4.350532769027236e-09,2.681941655432063e-08
cliffs and cobwebs,cliffs,cobwebs,659,74,2218200,93,6,13,14,0.08138528138528138,3.1550063640985515e-06,0.02456140350877193,6.760727923068325e-06,2.5677108071451416e-07,1.660529665315027e-07
cliffs and moths,cliffs,moths,659,290,2218200,93,34,28,14,0.08138528138528138,1.5775031820492758e-05,0.03689567430025445,6.760727923068325e-06,1.2838554035725706e-06,2.4944161548216464e-07
clocks and deer,clocks,deer,327,2284,2218200,35,51,200,12,0.04374240583232078,2.3437190133303527e-05,0.0723021582733813,5.859297533325882e-06,1.0251990823802272e-06,4.236398576253605e-07
closets and dungeons,closets,dungeons,68,87,2218200,19,5,16,12,0.03546099290780142,2.70429116922733e-06,0.029159519725557463,5.859297533325882e-06,9.589684997260035e-08,1.7085430200092624e-07
cobblers and colonels,cobblers,colonels,10,33,2218200,2,0,6,0,0.005928853754940711,4.5071519487122165e-07,0.013232514177693762,4.5071519487122165e-07,2.672224475521077e-09,5.964095206235447e-09
cobblers and deacons,cobblers,deacons,10,18,2218200,2,4,5,0,0.005928853754940711,2.253575974356108e-06,0.011673151750972763,4.5071519487122165e-07,1.3361122377605383e-08,5.261266866201031e-09
cobblers and judges,cobblers,judges,10,691,2218200,2,26,62,0,0.005928853754940711,1.2169310261522984e-05,0.05307497893850042,4.5071519487122165e-07,7.215006083906906e-08,2.3921699475052202e-08
cobblers and marquesses,cobblers,marquesses,10,2,2218200,2,0,0,0,0.005928853754940711,4.5071519487122165e-07,0.002008032128514056,4.5071519487122165e-07,2.672224475521077e-09,9.050505921108868e-10
cobblers and monks,cobblers,monks,10,448,2218200,2,22,48,0,0.005928853754940711,1.0366449482038099e-05,0.05190677966101695,4.5071519487122165e-07,6.146116293698476e-08,2.3395174310052818e-08
cobblers and privateers,cobblers,privateers,10,52,2218200,2,4,5,0,0.005928853754940711,2.253575974356108e-06,0.010948905109489052,4.5071519487122165e-07,1.3361122377605383e-08,4.934837900049872e-09
cobras and mice,cobras,mice,58,1093,2218200,6,87,145,2,0.01263537906137184,3.966293714866751e-05,0.09188168659534299,1.352145584613665e-06,5.011562455607808e-07,1.2423741683674957e-07
cobwebs and storms,cobwebs,storms,74,665,2218200,13,43,107,6,0.02456140350877193,1.9831468574333753e-05,0.09302325581395349,3.1550063640985515e-06,4.870887018257413e-07,2.9348896410219084e-07
coins and eagles,coins,eagles,688,314,2218200,80,10,46,24,0.06841216216216216,4.957867143583438e-06,0.05802469135802469,1.1267879871780541e-05,3.3917841100528586e-07,6.538152518193648e-07
coins and forests,coins,forests,688,1315,2218200,80,74,233,24,0.06841216216216216,3.380363961534162e-05,0.12921038100496962,1.1267879871780541e-05,2.31258007503604e-06,1.455927051350992e-06
coins and ravens,coins,ravens,688,280,2218200,80,7,19,24,0.06841216216216216,3.6057215589697732e-06,0.02577319587628866,1.1267879871780541e-05,2.466752080038443e-07,2.904092750458902e-07
comets and sparks,comets,sparks,102,370,2218200,22,37,32,5,0.038461538461538464,1.7127177405106424e-05,0.03810623556581986,2.70429116922733e-06,6.587375925040933e-07,1.0305035633314304e-07
condors and sparrows,condors,sparrows,15,164,2218200,4,8,30,0,0.009784735812133072,4.056436753840995e-06,0.04696969696969697,4.5071519487122165e-07,3.9691161974960806e-08,2.1169956122739196e-08
conscripts and generals,conscripts,generals,10,384,2218200,1,22,48,0,0.003952569169960474,1.0366449482038099e-05,0.05568181818181818,4.5071519487122165e-07,4.097410862465651e-08,2.5096641532602112e-08
coroners and senators,coroners,senators,4,393,2218200,1,18,50,0,0.004,8.563588702553212e-06,0.05736782902137233,4.5071519487122165e-07,3.4254354810212846e-08,2.5856552236706756e-08
corsairs and drapers,corsairs,drapers,93,8,2218200,10,0,2,0,0.01867572156196944,4.5071519487122165e-07,0.005952380952380952,4.5071519487122165e-07,8.417431483163732e-09,2.682828540900129e-09
cottages and dynasties,cottages,dynasties,252,110,2218200,47,9,10,20,0.06417112299465241,4.507151948712216e-06,0.018151815181518153,9.465019092295655e-06,2.8922900205639893e-07,1.7180727725289142e-07
counts and shepherds,counts,shepherds,796,255,2218200,38,11,11,26,0.03018575851393189,5.40858233845466e-06,0.015978695073235686,1.2169310261522984e-05,1.6326216037130938e-07,1.9444969792047378e-07
counts and tanners,counts,tanners,796,10,2218200,38,0,1,26,0.03018575851393189,4.5071519487122165e-07,0.003952569169960474,1.2169310261522984e-05,1.360518003094245e-08,4.810004055937938e-08
counts and vagabonds,counts,vagabonds,796,31,2218200,38,8,4,26,0.03018575851393189,4.056436753840995e-06,0.009487666034155597,1.2169310261522984e-05,1.2244662027848205e-07,1.1545835162735279e-07
crabs and walruses,crabs,walruses,366,22,2218200,52,3,3,29,0.06148491879350348,1.8028607794848866e-06,0.007722007722007722,1.352145584613665e-05,1.1084874862262064e-07,1.0441278645665367e-07
crates and warehouses,crates,warehouses,122,107,2218200,14,21,17,2,0.024271844660194174,9.915734287166877e-06,0.029850746268656716,1.352145584613665e-06,2.4067316230987565e-07,4.0362554764587014e-08
crayfish and otters,crayfish,otters,38,80,2218200,5,4,16,4,0.011235955056179775,2.253575974356108e-06,0.029513888888888888,2.253575974356108e-06,2.5321078363551776e-08,6.651179090981569e-08
crocodiles and tadpoles,crocodiles,tadpoles,361,351,2218200,47,13,17,36,0.056009334889148193,6.310012728197103e-06,0.021251475796930343,1.6676462210235202e-05,3.5341961604837917e-07,3.543994330392369e-07
crossbows and slingshots,crossbows,slingshots,12,6,2218200,0,1,0,1,0.001968503937007874,9.014303897424433e-07,0.00199203187250996,9.014303897424433e-07,1.7744692711465418e-09,1.7956780672160226e-09
crowbars and tweezers,crowbars,tweezers,28,26,2218200,7,2,9,4,0.015267175572519083,1.352145584613665e-06,0.019157088122605363,2.253575974356108e-06,2.064344403990328e-08,4.31719535317262e-08
crowns and nightcaps,crowns,nightcaps,238,8,2218200,34,0,1,15,0.047683923705722074,4.5071519487122165e-07,0.003968253968253968,7.2114431179395464e-06,2.149186896524899e-08,2.8616837769601373e-08
crumbs and feasts,crumbs,feasts,533,142,2218200,47,9,38,12,0.04664723032069971,4.507151948712216e-06,0.061128526645768025,5.859297533325882e-06,2.1024615504196926e-07,3.58170225391394e-07
cudgels and maces,cudgels,maces,14,12,2218200,1,1,3,1,0.00392156862745098,9.014303897424433e-07,0.007874015748031496,9.014303897424433e-07,3.5350211362448756e-09,7.097877084586167e-09
cutlasses and needles,cutlasses,needles,59,472,2218200,25,56,85,16,0.04684684684684685,2.5690766107659634e-05,0.08884297520661157,7.662158312810768e-06,1.2035313852236947e-06,6.807289410141797e-07
cyclones and gusts,cyclones,gusts,199,100,2218200,3,3,6,2,0.0057553956834532375,1.8028607794848866e-06,0.01174496644295302,1.352145584613665e-06,1.0376177148114456e-08,1.5880904517274588e-08
cyclones and zephyrs,cyclones,zephyrs,199,53,2218200,3,1,4,2,0.0057553956834532375,9.014303897424433e-07,0.009107468123861567,1.352145584613665e-06,5.188088574057228e-09,1.2314622810689118e-08
cypresses and mosses,cypresses,mosses,17,77,2218200,5,15,20,1,0.011695906432748537,7.2114431179395464e-06,0.03664921465968586,9.014303897424433e-07,8.434436395250931e-08,3.3036715854435094e-08
daggers and flowers,daggers,flowers,76,5935,2218200,14,364,960,10,0.026223776223776224,0.0001645110461279959,0.149432436635049,4.957867143583438e-06,4.3141008599998925e-06,7.408661677785235e-07
daggers and thimbles,daggers,thimbles,76,13,2218200,14,2,4,10,0.026223776223776224,1.352145584613665e-06,0.009823182711198428,4.957867143583438e-06,3.5458363232875826e-08,4.8702034809267566e-08
deltas and puddles,deltas,puddles,12,106,2218200,2,5,12,1,0.005905511811023622,2.70429116922733e-06,0.02159468438538206,9.014303897424433e-07,1.5970223440318876e-08,1.9466104761880004e-08
deserts and raindrops,deserts,raindrops,255,105,2218200,41,1,6,19,0.0559254327563249,9.014303897424433e-07,0.011647254575707155,9.014303897424432e-06,5.0412884646048763e-08,1.0499189231609156e-07
determined and forgettable,determined,forgettable,2979,7,2218200,48,1,1,175,0.014100719424460431,9.014303897424433e-07,0.003976143141153081,7.932587429733501e-05,1.2710817006440208e-08,3.154110310033201e-07
dewdrops and forests,dewdrops,forests,20,1315,2218200,4,74,233,1,0.009689922480620155,3.380363961534162e-05,0.12921038100496962,9.014303897424433e-07,3.2755464743548083e-07,1.1647416410807935e-07
dewdrops and glaciers,dewdrops,glaciers,20,132,2218200,4,6,18,1,0.009689922480620155,3.1550063640985515e-06,0.030254777070063694,9.014303897424433e-07,3.057176709397821e-08,2.7272575485838252e-08
dewdrops and planets,dewdrops,planets,20,794,2218200,4,32,95,1,0.009689922480620155,1.4873601430750315e-05,0.07441860465116279,9.014303897424433e-07,1.4412404487161157e-07,6.708319179478648e-08
dewdrops and tsunamis,dewdrops,tsunamis,20,24,2218200,4,2,5,1,0.009689922480620155,1.352145584613665e-06,0.011538461538461539,9.014303897424433e-07,1.3102185897419233e-08,1.0401119881643577e-08
dewdrops and waterfalls,dewdrops,waterfalls,20,94,2218200,4,14,17,1,0.009689922480620155,6.760727923068325e-06,0.030508474576271188,9.014303897424433e-07,6.551092948709617e-08,2.750126612773556e-08
disheveled and dreary,disheveled,dreary,25,353,2218200,3,37,26,7,0.007677543186180422,1.7127177405106424e-05,0.03180212014134275,3.6057215589697732e-06,1.314946441850781e-07,1.1466959021458642e-07
ditches and fjords,ditches,fjords,112,14,2218200,35,3,3,23,0.05921052631578947,1.8028607794848866e-06,0.00784313725490196,1.081716467690932e-05,1.067483356273946e-07,8.484050726987702e-08
doctors and shepherds,doctors,shepherds,1887,255,2218200,170,11,11,61,0.07175828787242972,5.40858233845466e-06,0.015978695073235686,2.794434208201574e-05,3.881106084245686e-07,4.4651412115071756e-07
donates and provides,donates,provides,19,846,2218200,0,54,3,0,0.001941747572815534,2.478933571791719e-05,0.0029806259314456036,4.5071519487122165e-07,4.813463246197513e-08,1.3434133975297217e-09
dreadnoughts and rowboats,dreadnoughts,rowboats,3,20,2218200,0,3,3,0,0.002004008016032064,1.8028607794848866e-06,0.007751937984496124,4.5071519487122165e-07,3.612947453877528e-09,3.4939162393117957e-09
drips and geysers,drips,geysers,57,39,2218200,4,4,7,2,0.009041591320072333,2.253575974356108e-06,0.014953271028037384,1.352145584613665e-06,2.0375912968861737e-08,2.0218999396092187e-08
dukes and flowers,dukes,flowers,173,5935,2218200,19,364,960,14,0.029895366218236172,0.0001645110461279959,0.149432436635049,6.760727923068325e-06,4.9181179709415815e-06,1.0102720469707139e-06
dukes and millers,dukes,millers,173,38,2218200,19,1,5,14,0.029895366218236172,9.014303897424433e-07,0.011235955056179775,6.760727923068325e-06,2.6948591621597706e-08,7.596323509065534e-08
dukes and shepherds,dukes,shepherds,173,255,2218200,19,11,11,14,0.029895366218236172,5.40858233845466e-06,0.015978695073235686,6.760727923068325e-06,1.6169154972958624e-07,1.0802760995581878e-07
dukes and vagrants,dukes,vagrants,173,34,2218200,19,4,7,14,0.029895366218236172,2.253575974356108e-06,0.01509433962264151,6.760727923068325e-06,6.737147905399427e-08,1.0204872336706906e-07
dungeons and spiders,dungeons,spiders,87,657,2218200,16,53,64,5,0.029159519725557463,2.4338620523045968e-05,0.05637467476149176,2.70429116922733e-06,7.097024852346166e-07,1.52453535125565e-07
eagles and plates,eagles,plates,314,1597,2218200,46,88,336,10,0.05802469135802469,4.0113652343538725e-05,0.1610129001433349,4.957867143583438e-06,2.327582296476938e-06,7.982805673137213e-07
eagles and ribbons,eagles,ribbons,314,439,2218200,46,31,93,10,0.05802469135802469,1.4422886235879093e-05,0.10053475935828877,4.957867143583438e-06,8.368835223287869e-07,4.984379802105275e-07
eagles and thimbles,eagles,thimbles,314,13,2218200,46,2,4,10,0.05802469135802469,1.352145584613665e-06,0.009823182711198428,4.957867143583438e-06,7.845783021832377e-08,4.8702034809267566e-08
earls and gravediggers,earls,gravediggers,77,3,2218200,6,0,0,3,0.012216404886561954,4.5071519487122165e-07,0.002004008016032064,1.8028607794848866e-06,5.506119309072516e-09,3.612947453877528e-09
earls and paupers,earls,paupers,77,22,2218200,6,7,4,3,0.012216404886561954,3.6057215589697732e-06,0.009652509652509652,1.8028607794848866e-06,4.404895447258013e-08,1.7402131076108942e-08
earls and tanners,earls,tanners,77,10,2218200,6,0,1,3,0.012216404886561954,4.5071519487122165e-07,0.003952569169960474,1.8028607794848866e-06,5.506119309072516e-09,7.125931934722872e-09
earthquakes and teardrops,earthquakes,teardrops,275,15,2218200,36,0,0,8,0.04798962386511025,4.5071519487122165e-07,0.0019569471624266144,4.056436753840995e-06,2.1629652672159796e-08,7.938232394992162e-09
earthquakes and whimpers,earthquakes,whimpers,275,91,2218200,36,2,8,8,0.04798962386511025,1.352145584613665e-06,0.015332197614991482,4.056436753840995e-06,6.488895801647938e-08,6.21940899226047e-08
elephants and gnats,elephants,gnats,1398,30,2218200,152,2,6,78,0.08078141499472016,1.352145584613665e-06,0.013307984790874524,3.560650039482651e-05,1.0922823360395497e-07,4.738507657106189e-07
elephants and pins,elephants,pins,1398,576,2218200,152,20,112,78,0.08078141499472016,9.465019092295655e-06,0.10541044776119403,3.560650039482651e-05,7.645976352276848e-07,3.7532971498277946e-06
elms and mushrooms,elms,mushrooms,105,307,2218200,27,32,55,9,0.04658901830282862,1.4873601430750315e-05,0.06973848069738481,4.507151948712216e-06,6.929464892862043e-07,3.1432192917544724e-07
embers and thunderbolts,embers,thunderbolts,159,40,2218200,18,1,3,4,0.02900763358778626,9.014303897424433e-07,0.007462686567164179,2.253575974356108e-06,2.6148362450544157e-08,1.6817731151911255e-08
emperors and flowers,emperors,flowers,307,5935,2218200,17,364,960,14,0.0224159402241594,0.0001645110461279959,0.149432436635049,6.760727923068325e-06,3.687669776219086e-06,1.0102720469707139e-06
eons and heartbeats,eons,heartbeats,18,9,2218200,0,2,2,0,0.0019455252918287938,1.352145584613665e-06,0.005940594059405941,4.5071519487122165e-07,2.6306334331005155e-09,2.6775160091359704e-09
eruptions and sparks,eruptions,sparks,106,370,2218200,5,37,32,2,0.009966777408637873,1.7127177405106424e-05,0.03810623556581986,1.352145584613665e-06,1.7070276483494773e-07,5.152517816657152e-08
falcons and wrens,falcons,wrens,85,27,2218200,14,2,4,3,0.025817555938037865,1.352145584613665e-06,0.009560229445506692,1.8028607794848866e-06,3.49090942671342e-08,1.723576271018056e-08
farmers and princes,farmers,princes,1155,485,2218200,134,38,91,38,0.08176862507571168,1.7577892599977646e-05,0.09378185524974515,1.7577892599977646e-05,1.437320109628699e-06,1.64848737940667e-06
farmers and shoguns,farmers,shoguns,1155,6,2218200,134,0,0,38,0.08176862507571168,4.5071519487122165e-07,0.00199203187250996,1.7577892599977646e-05,3.685436178535125e-08,3.501572231071244e-08
feasts and morsels,feasts,morsels,142,38,2218200,38,0,1,9,0.061128526645768025,4.5071519487122165e-07,0.003745318352059925,4.507151948712216e-06,2.7551555799338002e-08,1.688071890903452e-08
feasts and scraps,feasts,scraps,142,270,2218200,38,16,24,9,0.061128526645768025,7.662158312810768e-06,0.03263707571801567,4.507151948712216e-06,4.6837644858874597e-07,1.4710025942272249e-07
feathers and floods,feathers,floods,1400,273,2218200,158,17,27,87,0.08386075949367089,8.11287350768199e-06,0.036410923276983094,3.966293714866751e-05,6.803517340302935e-07,1.4441641614599353e-06
feathers and lightning,feathers,lightning,1400,1457,2218200,158,111,126,87,0.08386075949367089,5.0480101825576824e-05,0.06502816180235535,3.966293714866751e-05,4.233299678410715e-06,2.5792078944602013e-06
feathers and mountains,feathers,mountains,1400,4032,2218200,158,116,621,87,0.08386075949367089,5.273367779993293e-05,0.13736749116607774,3.966293714866751e-05,4.422286271196907e-06,5.44839816839028e-06
feathers and rivers,feathers,rivers,1400,2038,2218200,158,139,274,87,0.08386075949367089,6.310012728197103e-05,0.1085240726124704,3.966293714866751e-05,5.291624598013393e-06,4.304383471145843e-06
feathers and spears,feathers,spears,1400,529,2218200,158,51,107,87,0.08386075949367089,2.3437190133303527e-05,0.10536585365853658,3.966293714866751e-05,1.9654605649764034e-06,4.179119231274235e-06
feathers and storms,feathers,storms,1400,665,2218200,158,43,107,87,0.08386075949367089,1.9831468574333753e-05,0.09302325581395349,3.966293714866751e-05,1.6630820165184951e-06,3.6895755487132564e-06
feathers and thunderstorms,feathers,thunderstorms,1400,141,2218200,158,12,17,87,0.08386075949367089,5.859297533325882e-06,0.0282574568288854,3.966293714866751e-05,4.913651412441009e-07,1.1207737341852672e-06
feathers and tsunamis,feathers,tsunamis,1400,24,2218200,158,2,5,87,0.08386075949367089,1.352145584613665e-06,0.011538461538461539,3.966293714866751e-05,1.1339195567171557e-07,4.576492747923174e-07
feathers and volcanoes,feathers,volcanoes,1400,245,2218200,158,11,18,87,0.08386075949367089,5.40858233845466e-06,0.02564102564102564,3.966293714866751e-05,4.535678226868623e-07,1.016998388427372e-06
felines and quails,felines,quails,12,19,2218200,0,1,3,0,0.001968503937007874,9.014303897424433e-07,0.007766990291262136,4.5071519487122165e-07,1.7744692711465418e-09,3.5007005426891e-09
ferns and larches,ferns,larches,281,33,2218200,72,2,6,23,0.09395109395109395,1.352145584613665e-06,0.013232514177693762,1.081716467690932e-05,1.270355568555953e-07,1.4313828494965072e-07
ferns and sequoias,ferns,sequoias,281,5,2218200,72,0,2,23,0.09395109395109395,4.5071519487122165e-07,0.005988023952095809,1.081716467690932e-05,4.234518561853176e-08,6.477344117909772e-08
ferns and spruces,ferns,spruces,281,24,2218200,72,6,7,23,0.09395109395109395,3.1550063640985515e-06,0.015384615384615385,1.081716467690932e-05,2.9641629932972237e-07,1.6641791810629723e-07
ferns and walnuts,ferns,walnuts,281,85,2218200,72,11,24,23,0.09395109395109395,5.40858233845466e-06,0.043029259896729774,1.081716467690932e-05,5.081422274223812e-07,4.6545459022845606e-07
finches and vultures,finches,vultures,31,97,2218200,6,7,11,0,0.013282732447817837,3.6057215589697732e-06,0.02023608768971332,4.5071519487122165e-07,4.789383474912412e-08,9.120712206500268e-09
fireflies and galaxies,fireflies,galaxies,74,273,2218200,6,14,28,4,0.012280701754385965,6.760727923068325e-06,0.0377113133940182,2.253575974356108e-06,8.302648326575136e-08,8.498530982617312e-08
fireflies and moons,fireflies,moons,74,343,2218200,6,23,24,4,0.012280701754385965,1.081716467690932e-05,0.029797377830750895,2.253575974356108e-06,1.3284237322520215e-07,6.715065477819154e-08
fireflies and supernovas,fireflies,supernovas,74,17,2218200,6,0,1,4,0.012280701754385965,4.5071519487122165e-07,0.003898635477582846,2.253575974356108e-06,5.535098884383424e-09,8.785871245053053e-09
first and ninety-eighth,first,ninety-eighth,92202,0,2218200,2221,0,0,511,0.023970312196595397,4.5071519487122165e-07,0.0020161290322580645,0.00023076617977406549,1.0803783932812515e-08,4.652543947057772e-07
fishermen and generals,fishermen,generals,421,384,2218200,52,22,48,16,0.05779716466739367,1.0366449482038099e-05,0.05568181818181818,7.662158312810768e-06,5.991513877295739e-07,4.266429060542359e-07
flails and switches,flails,switches,33,311,2218200,4,21,13,3,0.00945179584120983,9.915734287166877e-06,0.01734820322180917,1.8028607794848866e-06,9.37214960979856e-08,3.12763951831331e-08
flint and opals,flint,opals,371,12,2218200,66,1,4,13,0.07727797001153403,9.014303897424433e-07,0.00984251968503937,6.310012728197103e-06,6.966071062600196e-08,6.210642449012896e-08
flintlocks and slingshots,flintlocks,slingshots,2,6,2218200,1,1,0,0,0.004016064257028112,9.014303897424433e-07,0.00199203187250996,4.5071519487122165e-07,3.620202368443547e-09,8.978390336080113e-10
floods and puddles,floods,puddles,273,106,2218200,27,5,12,17,0.036410923276983094,2.70429116922733e-06,0.02159468438538206,8.11287350768199e-06,9.84657382813592e-08,1.7519494285692005e-07
flowers and generals,flowers,generals,5935,384,2218200,960,22,48,364,0.149432436635049,1.0366449482038099e-05,0.05568181818181818,0.0001645110461279959,1.5490838053550946e-06,9.160274159399771e-06
flowers and knights,flowers,knights,5935,1526,2218200,960,39,203,364,0.149432436635049,1.8028607794848865e-05,0.10089020771513353,0.0001645110461279959,2.6940587919219033e-06,1.659755361528742e-05
flowers and knives,flowers,knives,5935,716,2218200,960,84,263,364,0.149432436635049,3.8310791564053844e-05,0.21782178217821782,0.0001645110461279959,5.7248749328340455e-06,3.583408925560307e-05
flowers and lances,flowers,lances,5935,100,2218200,960,9,20,364,0.149432436635049,4.507151948712216e-06,0.03523489932885906,0.0001645110461279959,6.735146979804758e-07,5.796530148805224e-06
flowers and lords,flowers,lords,5935,804,2218200,960,26,116,364,0.149432436635049,1.2169310261522984e-05,0.09,0.0001645110461279959,1.8184896845472848e-06,1.480599415151963e-05
flowers and monarchs,flowers,monarchs,5935,191,2218200,960,1,7,364,0.149432436635049,9.014303897424433e-07,0.011644832605531296,0.0001645110461279959,1.3470293959609518e-07,1.91570359392135e-06
flowers and pharaohs,flowers,pharaohs,5935,81,2218200,960,3,8,364,0.149432436635049,1.8028607794848866e-06,0.01559792027729636,0.0001645110461279959,2.6940587919219035e-07,2.5660301822391044e-06
flowers and princes,flowers,princes,5935,485,2218200,960,38,91,364,0.149432436635049,1.7577892599977646e-05,0.09378185524974515,0.0001645110461279959,2.626707322123856e-06,1.542815111495986e-05
flowers and warriors,flowers,warriors,5935,1050,2218200,960,33,78,364,0.149432436635049,1.5324316625621535e-05,0.05109961190168176,0.0001645110461279959,2.289949973133618e-06,8.406450610680256e-06
flowers and zinnias,flowers,zinnias,5935,4,2218200,960,0,1,364,0.149432436635049,4.5071519487122165e-07,0.004,0.0001645110461279959,6.735146979804759e-08,6.580441845119836e-07
flutes and kazoos,flutes,kazoos,43,0,2218200,13,0,0,5,0.025974025974025976,4.5071519487122165e-07,0.0020161290322580645,2.70429116922733e-06,1.170688817847329e-08,5.452199937958326e-09
footmen and marshals,footmen,marshals,85,70,2218200,12,2,6,14,0.022375215146299483,1.352145584613665e-06,0.012367491166077738,6.760727923068325e-06,3.0254548364849645e-08,8.36132428648026e-08
fortresses and tents,fortresses,tents,76,843,2218200,13,20,168,6,0.024475524475524476,9.465019092295655e-06,0.1262135922330097,3.1550063640985515e-06,2.3166130645478874e-07,3.9820468673088515e-07
foxes and thimbles,foxes,thimbles,344,13,2218200,58,2,4,21,0.07023809523809524,1.352145584613665e-06,0.009823182711198428,9.915734287166877e-06,9.497213034786455e-08,9.740406961853513e-08
friars and tanners,friars,tanners,49,10,2218200,5,0,1,5,0.011009174311926606,4.5071519487122165e-07,0.003952569169960474,2.70429116922733e-06,4.962002145371248e-09,1.0688897902084306e-08
fuming and mad,fuming,mad,56,6018,2218200,3,36,262,13,0.007246376811594203,1.6676462210235202e-05,0.04037457783236107,6.310012728197103e-06,1.2084392905967538e-07,2.5476410001778296e-07
gales and sparks,gales,sparks,89,370,2218200,13,37,32,5,0.023931623931623933,1.7127177405106424e-05,0.03810623556581986,2.70429116922733e-06,4.098811686692136e-07,1.0305035633314304e-07
galleons and kayaks,galleons,kayaks,36,12,2218200,5,0,2,2,0.011278195488721804,4.5071519487122165e-07,0.005905511811023622,1.352145584613665e-06,5.0832540774949805e-09,7.985111720159438e-09
garnets and slate,garnets,slate,6,466,2218200,1,9,51,0,0.00398406374501992,4.507151948712216e-06,0.05405405405405406,4.5071519487122165e-07,1.7956780672160225e-08,2.4362983506552522e-08
gazelles and leopards,gazelles,leopards,65,91,2218200,16,20,19,5,0.030303030303030304,9.465019092295655e-06,0.034071550255536626,2.70429116922733e-06,2.868187603725956e-07,9.213939247793287e-08
gelatin and lard,gelatin,lard,54,62,2218200,1,5,10,2,0.0036363636363636364,2.70429116922733e-06,0.01971326164874552,1.352145584613665e-06,9.833786069917562e-09,2.665519969668515e-08
generals and knitters,generals,knitters,384,4,2218200,48,1,0,22,0.05568181818181818,9.014303897424433e-07,0.002,1.0366449482038099e-05,5.0193283065204225e-08,2.0732898964076196e-08
generals and lace,generals,lace,384,725,2218200,48,56,90,22,0.05568181818181818,2.5690766107659634e-05,0.07452907452907453,1.0366449482038099e-05,1.4305085673583205e-06,7.726018860487035e-07
generals and riflemen,generals,riflemen,384,80,2218200,48,4,7,22,0.05568181818181818,2.253575974356108e-06,0.013888888888888888,1.0366449482038099e-05,1.2548320766301056e-07,1.4397846502830693e-07
gerbils and pythons,gerbils,pythons,33,22,2218200,3,2,3,3,0.007561436672967864,1.352145584613665e-06,0.007722007722007722,1.8028607794848866e-06,1.0224163210689338e-08,1.3921704860887156e-08
glaciers and raindrops,glaciers,raindrops,132,105,2218200,18,1,6,6,0.030254777070063694,9.014303897424433e-07,0.011647254575707155,3.1550063640985515e-06,2.7272575485838252e-08,3.6747162310632045e-08
gnats and gorillas,gnats,gorillas,30,100,2218200,6,5,9,2,0.013307984790874524,2.70429116922733e-06,0.016778523489932886,1.352145584613665e-06,3.5988665750173586e-08,2.268700645324941e-08
gnats and hippopotamuses,gnats,hippopotamuses,30,13,2218200,6,5,0,2,0.013307984790874524,2.70429116922733e-06,0.0019646365422396855,1.352145584613665e-06,3.5988665750173586e-08,2.656474625960049e-09
gnats and mammoths,gnats,mammoths,30,24,2218200,6,0,2,2,0.013307984790874524,4.5071519487122165e-07,0.0057692307692307696,1.352145584613665e-06,5.998110958362265e-09,7.800839911232683e-09
gnats and rhinoceroses,gnats,rhinoceroses,30,29,2218200,6,1,8,2,0.013307984790874524,9.014303897424433e-07,0.017142857142857144,1.352145584613665e-06,1.199622191672453e-08,2.3179638593377113e-08
goblets and puddles,goblets,puddles,30,106,2218200,8,5,12,3,0.017110266159695818,2.70429116922733e-06,0.02159468438538206,1.8028607794848866e-06,4.627114167879462e-08,3.893220952376001e-08
gorillas and sparrows,gorillas,sparrows,100,164,2218200,9,8,30,5,0.016778523489932886,4.056436753840995e-06,0.04696969696969697,2.70429116922733e-06,6.806101935974824e-08,1.2701973673643517e-07
gravediggers and kings,gravediggers,kings,3,2007,2218200,0,57,346,0,0.002004008016032064,2.6141481302530856e-05,0.13863363963244107,4.5071519487122165e-07,5.2387738081224155e-08,6.24842879026424e-08
gravel and moonstone,gravel,moonstone,419,15,2218200,47,0,1,50,0.05245901639344262,4.5071519487122165e-07,0.003913894324853229,2.2986474938432305e-05,2.3644075796523103e-08,8.996663380991117e-08
gravel and onyx,gravel,onyx,419,26,2218200,47,0,2,50,0.05245901639344262,4.5071519487122165e-07,0.005747126436781609,2.2986474938432305e-05,2.3644075796523103e-08,1.321061778070822e-07
gravel and sapphires,gravel,sapphires,419,24,2218200,47,7,4,50,0.05245901639344262,3.6057215589697732e-06,0.009615384615384616,2.2986474938432305e-05,1.8915260637218482e-07,2.2102379748492603e-07
