word1,word2,order1,order1_count,order2,order2_count,novel
beggars,priests,beggars and priests,920,priests and beggars,2565,False
behemoths,sparrows,behemoths and sparrows,0,sparrows and behemoths,0,True
bicycles,robots,bicycles and robots,0,robots and bicycles,0,True
billhooks,twigs,billhooks and twigs,0,twigs and billhooks,0,True
birches,ferns,birches and ferns,488,ferns and birches,0,False
birdhouses,cathedrals,birdhouses and cathedrals,0,cathedrals and birdhouses,0,True
birdhouses,skyscrapers,birdhouses and skyscrapers,0,skyscrapers and birdhouses,0,True
birdhouses,turrets,birdhouses and turrets,0,turrets and birdhouses,0,True
bishops,blacksmiths,bishops and blacksmiths,0,blacksmiths and bishops,0,True
bishops,cordwainers,bishops and cordwainers,0,cordwainers and bishops,0,True
bishops,potters,bishops and potters,0,potters and bishops,0,True
bishops,seamstresses,bishops and seamstresses,0,seamstresses and bishops,0,True
bishops,vagabonds,bishops and vagabonds,0,vagabonds and bishops,0,True
bison,sparrows,bison and sparrows,0,sparrows and bison,0,True
bitter,purple,bitter and purple,0,purple and bitter,0,True
blacksmiths,lawyers,blacksmiths and lawyers,0,lawyers and blacksmiths,0,True
blankets,kittens,blankets and kittens,0,kittens and blankets,0,True
blizzards,butterflies,blizzards and butterflies,0,butterflies and blizzards,0,True
blizzards,flurries,blizzards and flurries,0,flurries and blizzards,0,True
blizzards,mists,blizzards and mists,0,mists and blizzards,0,True
bogs,tundras,bogs and tundras,0,tundras and bogs,0,True
bombs,pebbles,bombs and pebbles,0,pebbles and bombs,0,True
bonnets,cannons,bonnets and cannons,0,cannons and bonnets,0,True
bonnets,shields,bonnets and shields,0,shields and bonnets,0,True
bonnets,swords,bonnets and swords,336,swords and bonnets,0,True
bonnets,wolves,bonnets and wolves,0,wolves and bonnets,0,True
books,owls,books and owls,0,owls and books,0,True
boulders,butterflies,boulders and butterflies,0,butterflies and boulders,0,True
boulders,feathers,boulders and feathers,0,feathers and boulders,0,True
boulders,marbles,boulders and marbles,0,marbles and boulders,0,True
bowls,sharks,bowls and sharks,0,sharks and bowls,0,True
breezes,monsoons,breezes and monsoons,680,monsoons and breezes,0,False
breezes,tornadoes,breezes and tornadoes,0,tornadoes and breezes,0,True
breezes,typhoons,breezes and typhoons,0,typhoons and breezes,0,True
bridges,needles,bridges and needles,0,needles and bridges,0,True
broadswords,daggers,broadswords and daggers,384,daggers and broadswords,0,False
brocade,canvas,brocade and canvas,0,canvas and brocade,0,True
buccaneers,milliners,buccaneers and milliners,0,milliners and buccaneers,0,True
buffaloes,sparrows,buffaloes and sparrows,0,sparrows and buffaloes,0,True
burlap,cashmere,burlap and cashmere,0,cashmere and burlap,0,True
burlap,organza,burlap and organza,0,organza and burlap,0,True
burlap,velvet,burlap and velvet,0,velvet and burlap,0,True
butterflies,comets,butterflies and comets,0,comets and butterflies,0,True
butterflies,earthquakes,butterflies and earthquakes,0,earthquakes and butterflies,0,True
butterflies,floods,butterflies and floods,0,floods and butterflies,0,True
butterflies,squalls,butterflies and squalls,0,squalls and butterflies,0,True
butterflies,tempests,butterflies and tempests,0,tempests and butterflies,0,True
buttes,copses,buttes and copses,0,copses and buttes,0,True
buttons,castles,buttons and castles,0,castles and buttons,0,True
buttons,deer,buttons and deer,0,deer and buttons,0,True
buttons,foxes,buttons and foxes,0,foxes and buttons,0,True
buttons,lions,buttons and lions,0,lions and buttons,0,True
buttons,mountains,buttons and mountains,0,mountains and buttons,0,True
buttons,seas,buttons and seas,0,seas and buttons,0,True
buttons,whales,buttons and whales,0,whales and buttons,0,True
cabins,citadels,cabins and citadels,0,citadels and cabins,0,True
calderas,puddles,calderas and puddles,0,puddles and calderas,0,True
caliphs,potters,caliphs and potters,0,potters and caliphs,0,True
campfires,wildfires,campfires and wildfires,0,wildfires and campfires,0,True
candles,chandeliers,candles and chandeliers,845,chandeliers and candles,1200,False
candles,foxes,candles and foxes,0,foxes and candles,0,True
candles,galaxies,candles and galaxies,0,galaxies and candles,0,True
candles,gales,candles and gales,0,gales and candles,0,True
candles,hurricanes,candles and hurricanes,0,hurricanes and candles,0,True
candles,nebulae,candles and nebulae,0,nebulae and candles,0,True
cannons,darts,cannons and darts,0,darts and cannons,0,True
cannons,needles,cannons and needles,0,needles and cannons,0,True
cannons,slingshots,cannons and slingshots,0,slingshots and cannons,0,True
canvas,chiffon,canvas and chiffon,0,chiffon and canvas,0,True
canvas,silk,canvas and silk,715,silk and canvas,1552,False
canyons,gullies,canyons and gullies,4628,gullies and canyons,6680,False
canyons,marbles,canyons and marbles,0,marbles and canyons,0,True
captains,flowers,captains and flowers,0,flowers and captains,0,True
cardinals,glovers,cardinals and glovers,0,glovers and cardinals,0,True
cardinals,novices,cardinals and novices,0,novices and cardinals,0,True
carracks,skiffs,carracks and skiffs,0,skiffs and carracks,0,True
cashmere,flannel,cashmere and flannel,0,flannel and cashmere,0,True
cashmere,wool,cashmere and wool,1486,wool and cashmere,4848,False
castellans,heralds,castellans and heralds,0,heralds and castellans,0,True
castles,hovels,castles and hovels,328,hovels and castles,0,True
catamarans,coracles,catamarans and coracles,0,coracles and catamarans,0,True
catapults,slingshots,catapults and slingshots,0,slingshots and catapults,0,True
cathedrals,outhouses,cathedrals and outhouses,0,outhouses and cathedrals,0,True
cathedrals,sheds,cathedrals and sheds,0,sheds and cathedrals,0,True
cauldrons,thimbles,cauldrons and thimbles,0,thimbles and cauldrons,0,True
cedars,mosses,cedars and mosses,0,mosses and cedars,0,True
cellos,kazoos,cellos and kazoos,0,kazoos and cellos,0,True
cellos,triangles,cellos and triangles,0,triangles and cellos,0,True
chalices,thimbles,chalices and thimbles,0,thimbles and chalices,0,True
chalk,diamonds,chalk and diamonds,0,diamonds and chalk,0,True
chalk,tanzanite,chalk and tanzanite,0,tanzanite and chalk,0,True
champagne,vinegar,champagne and vinegar,0,vinegar and champagne,0,True
champagne,water,champagne and water,1848,water and champagne,2768,False
chandeliers,torches,chandeliers and torches,0,torches and chandeliers,0,True
chanting,enchanting,chanting and enchanting,0,enchanting and chanting,0,True
chasms,puddles,chasms and puddles,0,puddles and chasms,0,True
chauffeurs,stewardesses,chauffeurs and stewardesses,0,stewardesses and chauffeurs,0,True
cheetahs,gazelles,cheetahs and gazelles,896,gazelles and cheetahs,0,False
cherries,llamas,cherries and llamas,0,llamas and cherries,0,True
chestnuts,ferns,chestnuts and ferns,0,ferns and chestnuts,0,True
chickens,fences,chickens and fences,0,fences and chickens,0,True
chipmunks,gorillas,chipmunks and gorillas,0,gorillas and chipmunks,0,True
chrysoberyl,gravel,chrysoberyl and gravel,0,gravel and chrysoberyl,0,True
churches,pebbles,churches and pebbles,0,pebbles and churches,0,True
citrine,gravel,citrine and gravel,0,gravel and citrine,0,True
civilizations,homesteads,civilizations and homesteads,0,homesteads and civilizations,0,True
clarinets,kazoos,clarinets and kazoos,0,kazoos and clarinets,0,True
clay,emeralds,clay and emeralds,0,emeralds and clay,0,True
clay,jade,clay and jade,316,jade and clay,376,False
clay,malachite,clay and malachite,0,malachite and clay,0,True
claymores,penknives,claymores and penknives,0,penknives and claymores,0,True
clearings,plateaus,clearings and plateaus,0,plateaus and clearings,0,True
clearings,prairies,clearings and prairies,0,prairies and clearings,0,True
cliffs,cobwebs,cliffs and cobwebs,0,cobwebs and cliffs,0,True
cliffs,gullies,cliffs and gullies,3224,gullies and cliffs,1180,False
cliffs,moths,cliffs and moths,0,moths and cliffs,0,True
cliffs,pools,cliffs and pools,0,pools and cliffs,448,False
clocks,deer,clocks and deer,0,deer and clocks,0,True
closets,dungeons,closets and dungeons,0,dungeons and closets,0,True
clubs,doilies,clubs and doilies,0,doilies and clubs,0,True
cobblers,colonels,cobblers and colonels,0,colonels and cobblers,0,True
cobblers,deacons,cobblers and deacons,0,deacons and cobblers,0,True
cobblers,emirs,cobblers and emirs,0,emirs and cobblers,0,True
cobblers,judges,cobblers and judges,0,judges and cobblers,0,True
cobblers,marquesses,cobblers and marquesses,0,marquesses and cobblers,0,True
cobblers,monks,cobblers and monks,0,monks and cobblers,0,True
cobblers,privateers,cobblers and privateers,0,privateers and cobblers,0,True
cobblers,sultans,cobblers and sultans,0,sultans and cobblers,0,True
cobras,mice,cobras and mice,0,mice and cobras,0,True
cobwebs,storms,cobwebs and storms,0,storms and cobwebs,0,True
coins,eagles,coins and eagles,0,eagles and coins,0,True
coins,forests,coins and forests,0,forests and coins,0,True
coins,ravens,coins and ravens,0,ravens and coins,0,True
coliseums,shacks,coliseums and shacks,0,shacks and coliseums,0,True
comets,sparks,comets and sparks,0,sparks and comets,0,True
condors,sparrows,condors and sparrows,0,sparrows and condors,0,True
conscripts,generals,conscripts and generals,0,generals and conscripts,0,True
continents,islands,continents and islands,120056,islands and continents,86392,False
copses,rainforests,copses and rainforests,0,rainforests and copses,0,True
coral,gravel,coral and gravel,512,gravel and coral,556,False
cordwainers,fullers,cordwainers and fullers,0,fullers and cordwainers,0,True
cordwainers,viscounts,cordwainers and viscounts,0,viscounts and cordwainers,0,True
coroners,senators,coroners and senators,0,senators and coroners,0,True
coronets,rags,coronets and rags,0,rags and coronets,0,True
corsairs,drapers,corsairs and drapers,0,drapers and corsairs,0,True
cottages,dynasties,cottages and dynasties,0,dynasties and cottages,0,True
cotton,taffeta,cotton and taffeta,0,taffeta and cotton,0,True
cougars,deer,cougars and deer,0,deer and cougars,464,False
counts,shepherds,counts and shepherds,0,shepherds and counts,0,True
counts,tanners,counts and tanners,0,tanners and counts,0,True
counts,vagabonds,counts and vagabonds,0,vagabonds and counts,0,True
crabs,walruses,crabs and walruses,0,walruses and crabs,0,True
crags,dales,crags and dales,0,dales and crags,0,True
crates,warehouses,crates and warehouses,0,warehouses and crates,0,True
crayfish,otters,crayfish and otters,0,otters and crayfish,0,True
crocodiles,frogs,crocodiles and frogs,736,frogs and crocodiles,1800,False
crocodiles,tadpoles,crocodiles and tadpoles,0,tadpoles and crocodiles,0,True
crossbows,slingshots,crossbows and slingshots,0,slingshots and crossbows,0,True
crowbars,tweezers,crowbars and tweezers,0,tweezers and crowbars,0,True
crowns,nightcaps,crowns and nightcaps,0,nightcaps and crowns,0,True
crumbs,feasts,crumbs and feasts,0,feasts and crumbs,0,True
cudgels,maces,cudgels and maces,0,maces and cudgels,0,True
culverins,pistols,culverins and pistols,0,pistols and culverins,0,True
cups,lions,cups and lions,0,lions and cups,0,True
currant,pomegranate,currant and pomegranate,0,pomegranate and currant,0,True
cutlasses,needles,cutlasses and needles,0,needles and cutlasses,0,True
cyclones,gusts,cyclones and gusts,0,gusts and cyclones,0,True
cyclones,zephyrs,cyclones and zephyrs,0,zephyrs and cyclones,0,True
cypresses,mosses,cypresses and mosses,0,mosses and cypresses,0,True
daggers,flowers,daggers and flowers,0,flowers and daggers,0,True
daggers,thimbles,daggers and thimbles,0,thimbles and daggers,0,True
damask,linen,damask and linen,1148,linen and damask,2624,False
deltas,puddles,deltas and puddles,0,puddles and deltas,0,True
deposed,murdered,deposed and murdered,37164,murdered and deposed,0,False
deserts,oases,deserts and oases,10328,oases and deserts,1624,False
deserts,raindrops,deserts and raindrops,0,raindrops and deserts,0,True
determined,forgettable,determined and forgettable,0,forgettable and determined,0,True
dewdrops,forests,dewdrops and forests,0,forests and dewdrops,0,True
dewdrops,glaciers,dewdrops and glaciers,0,glaciers and dewdrops,0,True
dewdrops,planets,dewdrops and planets,0,planets and dewdrops,0,True
dewdrops,tsunamis,dewdrops and tsunamis,0,tsunamis and dewdrops,0,True
dewdrops,waterfalls,dewdrops and waterfalls,0,waterfalls and dewdrops,0,True
diadems,pebbles,diadems and pebbles,0,pebbles and diadems,0,True
dinghies,galleons,dinghies and galleons,0,galleons and dinghies,0,True
discontent,tearfulness,discontent and tearfulness,0,tearfulness and discontent,0,True
disheveled,dreary,disheveled and dreary,0,dreary and disheveled,0,True
distaffs,onagers,distaffs and onagers,0,onagers and distaffs,0,True
ditches,fjords,ditches and fjords,0,fjords and ditches,0,True
doctors,shepherds,doctors and shepherds,0,shepherds and doctors,0,True
doilies,knives,doilies and knives,0,knives and doilies,0,True
donates,provides,donates and provides,0,provides and donates,0,True
doublets,smocks,doublets and smocks,0,smocks and doublets,0,True
drapers,fullers,drapers and fullers,0,fullers and drapers,0,True
dreadnoughts,rowboats,dreadnoughts and rowboats,0,rowboats and dreadnoughts,0,True
drips,geysers,drips and geysers,0,geysers and drips,0,True
drizzles,hailstorms,drizzles and hailstorms,0,hailstorms and drizzles,0,True
drizzles,tempests,drizzles and tempests,0,tempests and drizzles,0,True
drizzles,thunderstorms,drizzles and thunderstorms,0,thunderstorms and drizzles,0,True
drizzles,typhoons,drizzles and typhoons,0,typhoons and drizzles,0,True
drovers,scholars,drovers and scholars,0,scholars and drovers,0,True
drovers,sultans,drovers and sultans,0,sultans and drovers,0,True
dukes,flowers,dukes and flowers,0,flowers and dukes,0,True
dukes,millers,dukes and millers,0,millers and dukes,0,True
dukes,shepherds,dukes and shepherds,0,shepherds and dukes,0,True
dukes,vagrants,dukes and vagrants,0,vagrants and dukes,0,True
dungeons,spiders,dungeons and spiders,0,spiders and dungeons,0,True
eagles,plates,eagles and plates,0,plates and eagles,0,True
eagles,ribbons,eagles and ribbons,0,ribbons and eagles,0,True
eagles,thimbles,eagles and thimbles,0,thimbles and eagles,0,True
earls,gravediggers,earls and gravediggers,0,gravediggers and earls,0,True
earls,paupers,earls and paupers,0,paupers and earls,0,True
earls,tanners,earls and tanners,0,tanners and earls,0,True
earthquakes,sighs,earthquakes and sighs,0,sighs and earthquakes,0,True
earthquakes,teardrops,earthquakes and teardrops,0,teardrops and earthquakes,0,True
earthquakes,whimpers,earthquakes and whimpers,0,whimpers and earthquakes,0,True
elephants,gnats,elephants and gnats,0,gnats and elephants,0,True
elephants,pins,elephants and pins,0,pins and elephants,0,True
elephants,shrews,elephants and shrews,0,shrews and elephants,0,True
elms,mushrooms,elms and mushrooms,0,mushrooms and elms,0,True
embers,thunderbolts,embers and thunderbolts,0,thunderbolts and embers,0,True
emperors,flowers,emperors and flowers,0,flowers and emperors,0,True
emperors,scullions,emperors and scullions,0,scullions and emperors,0,True
emperors,tinkers,emperors and tinkers,0,tinkers and emperors,0,True
empires,hamlets,empires and hamlets,0,hamlets and empires,0,True
eons,heartbeats,eons and heartbeats,0,heartbeats and eons,0,True
eruptions,sparks,eruptions and sparks,0,sparks and eruptions,0,True
escarpments,meadows,escarpments and meadows,0,meadows and escarpments,0,True
falcons,wrens,falcons and wrens,0,wrens and falcons,0,True
farmers,lords,farmers and lords,504,lords and farmers,1048,False
farmers,princes,farmers and princes,0,princes and farmers,0,True
farmers,shoguns,farmers and shoguns,0,shoguns and farmers,0,True
feasts,morsels,feasts and morsels,0,morsels and feasts,0,True
feasts,scraps,feasts and scraps,0,scraps and feasts,0,True
feathers,floods,feathers and floods,0,floods and feathers,0,True
feathers,lightning,feathers and lightning,0,lightning and feathers,0,True
feathers,mountains,feathers and mountains,0,mountains and feathers,0,True
feathers,rivers,feathers and rivers,0,rivers and feathers,0,True
feathers,sharks,feathers and sharks,0,sharks and feathers,0,True
feathers,spears,feathers and spears,0,spears and feathers,0,True
feathers,storms,feathers and storms,0,storms and feathers,0,True
feathers,swords,feathers and swords,1072,swords and feathers,584,False
feathers,thunderstorms,feathers and thunderstorms,0,thunderstorms and feathers,0,True
feathers,tsunamis,feathers and tsunamis,0,tsunamis and feathers,0,True
feathers,volcanoes,feathers and volcanoes,0,volcanoes and feathers,0,True
felines,quails,felines and quails,0,quails and felines,0,True
ferns,larches,ferns and larches,0,larches and ferns,0,True
ferns,sequoias,ferns and sequoias,0,sequoias and ferns,0,True
ferns,spruces,ferns and spruces,0,spruces and ferns,0,True
ferns,walnuts,ferns and walnuts,0,walnuts and ferns,0,True
finches,vultures,finches and vultures,0,vultures and finches,0,True
fireflies,galaxies,fireflies and galaxies,0,galaxies and fireflies,0,True
fireflies,moons,fireflies and moons,0,moons and fireflies,0,True
fireflies,supernovas,fireflies and supernovas,0,supernovas and fireflies,0,True
first,ninety-eighth,first and ninety-eighth,0,ninety-eighth and first,0,True
fishermen,generals,fishermen and generals,0,generals and fishermen,0,True
flails,switches,flails and switches,0,switches and flails,0,True
flint,opals,flint and opals,0,opals and flint,0,True
flintlocks,slingshots,flintlocks and slingshots,0,slingshots and flintlocks,0,True
floods,puddles,floods and puddles,0,puddles and floods,0,True
flowers,generals,flowers and generals,0,generals and flowers,0,True
flowers,kings,flowers and kings,400,kings and flowers,0,False
flowers,knights,flowers and knights,0,knights and flowers,0,True
flowers,knives,flowers and knives,0,knives and flowers,320,True
flowers,lances,flowers and lances,0,lances and flowers,0,True
flowers,lords,flowers and lords,0,lords and flowers,0,True
flowers,monarchs,flowers and monarchs,0,monarchs and flowers,0,True
flowers,pharaohs,flowers and pharaohs,0,pharaohs and flowers,0,True
flowers,princes,flowers and princes,0,princes and flowers,0,True
flowers,soldiers,flowers and soldiers,656,soldiers and flowers,0,False
flowers,sultans,flowers and sultans,0,sultans and flowers,0,True
flowers,swords,flowers and swords,0,swords and flowers,632,False
flowers,warriors,flowers and warriors,0,warriors and flowers,0,True
flowers,zinnias,flowers and zinnias,0,zinnias and flowers,0,True
flutes,kazoos,flutes and kazoos,0,kazoos and flutes,0,True
flutes,tambourines,flutes and tambourines,5164,tambourines and flutes,3116,False
footmen,marshals,footmen and marshals,0,marshals and footmen,0,True
fortresses,leantos,fortresses and leantos,0,leantos and fortresses,0,True
fortresses,tents,fortresses and tents,0,tents and fortresses,0,True
foxes,rabbits,foxes and rabbits,15524,rabbits and foxes,18456,False
foxes,thimbles,foxes and thimbles,0,thimbles and foxes,0,True
friars,tanners,friars and tanners,0,tanners and friars,0,True
frigates,punts,frigates and punts,0,punts and frigates,0,True
frogs,storks,frogs and storks,0,storks and frogs,0,True
fuming,mad,fuming and mad,0,mad and fuming,0,True
gales,sparks,gales and sparks,0,sparks and gales,0,True
galleons,kayaks,galleons and kayaks,0,kayaks and galleons,0,True
garnets,slate,garnets and slate,0,slate and garnets,364,True
gazelles,leopards,gazelles and leopards,0,leopards and gazelles,0,True
gelatin,lard,gelatin and lard,0,lard and gelatin,0,True
generals,knitters,generals and knitters,0,knitters and generals,0,True
generals,lace,generals and lace,0,lace and generals,0,True
generals,riflemen,generals and riflemen,0,riflemen and generals,0,True
gerbils,pythons,gerbils and pythons,0,pythons and gerbils,0,True
glaciers,raindrops,glaciers and raindrops,0,raindrops and glaciers,0,True
glades,taigas,glades and taigas,0,taigas and glades,0,True
glovers,hosiers,glovers and hosiers,0,hosiers and glovers,576,False
gnats,gorillas,gnats and gorillas,0,gorillas and gnats,0,True
gnats,hippopotamuses,gnats and hippopotamuses,0,hippopotamuses and gnats,0,True
gnats,mammoths,gnats and mammoths,0,mammoths and gnats,0,True
gnats,rhinoceroses,gnats and rhinoceroses,0,rhinoceroses and gnats,0,True
goblets,puddles,goblets and puddles,0,puddles and goblets,0,True
gorges,puddles,gorges and puddles,0,puddles and gorges,0,True
gorillas,sparrows,gorillas and sparrows,0,sparrows and gorillas,0,True
gravediggers,kings,gravediggers and kings,0,kings and gravediggers,0,True
gravel,moonstone,gravel and moonstone,0,moonstone and gravel,0,True
gravel,onyx,gravel and onyx,0,onyx and gravel,0,True
gravel,sapphires,gravel and sapphires,0,sapphires and gravel,0,True
gravel,spinel,gravel and spinel,0,spinel and gravel,0,True
gravel,turquoise,gravel and turquoise,0,turquoise and gravel,0,True
grooms,maharajas,grooms and maharajas,0,maharajas and grooms,0,True
grooms,nawabs,grooms and nawabs,0,nawabs and grooms,0,True
grooms,seneschals,grooms and seneschals,0,seneschals and grooms,0,True
groundskeeper,superintendent,groundskeeper and superintendent,0,superintendent and groundskeeper,0,True
gudgeons,pike,gudgeons and pike,0,pike and gudgeons,0,True
haberdashers,mariners,haberdashers and mariners,0,mariners and haberdashers,0,True
hailstones,icebergs,hailstones and icebergs,0,icebergs and hailstones,0,True
hairpins,sabres,hairpins and sabres,0,sabres and hairpins,0,True
hairpins,tiaras,hairpins and tiaras,0,tiaras and hairpins,0,True
halberds,knives,halberds and knives,0,knives and halberds,0,True
hammers,lace,hammers and lace,0,lace and hammers,0,True
happily,rudely,happily and rudely,0,rudely and happily,0,True
hares,lynxes,hares and lynxes,728,lynxes and hares,656,False
harpooners,knitters,harpooners and knitters,0,knitters and harpooners,0,True
harps,kazoos,harps and kazoos,0,kazoos and harps,0,True
harps,tambourines,harps and tambourines,1444,tambourines and harps,1104,False
harpsichords,kazoos,harpsichords and kazoos,0,kazoos and harpsichords,0,True
hauberks,jerkins,hauberks and jerkins,0,jerkins and hauberks,0,True
hawks,thimbles,hawks and thimbles,0,thimbles and hawks,0,True
hawks,voles,hawks and voles,0,voles and hawks,0,True
helmets,nightcaps,helmets and nightcaps,0,nightcaps and helmets,0,True
helmets,ribbons,helmets and ribbons,0,ribbons and helmets,0,True
herons,sticklebacks,herons and sticklebacks,0,sticklebacks and herons,0,True
herrings,megalodons,herrings and megalodons,0,megalodons and herrings,0,True
herrings,seals,herrings and seals,0,seals and herrings,0,True
herrings,sharks,herrings and sharks,0,sharks and herrings,0,True
hesitate,readjust,hesitate and readjust,0,readjust and hesitate,0,True
hillocks,mountains,hillocks and mountains,590,mountains and hillocks,1128,False
hippopotamuses,mice,hippopotamuses and mice,0,mice and hippopotamuses,0,True
horses,loons,horses and loons,0,loons and horses,0,True
horses,mirrors,horses and mirrors,0,mirrors and horses,0,True
horses,thimbles,horses and thimbles,0,thimbles and horses,0,True
hovels,palaces,hovels and palaces,1984,palaces and hovels,8236,False
hovels,temples,hovels and temples,0,temples and hovels,0,True
hurricanes,petals,hurricanes and petals,0,petals and hurricanes,0,True
hurricanes,zephyrs,hurricanes and zephyrs,0,zephyrs and hurricanes,0,True
huts,monasteries,huts and monasteries,0,monasteries and huts,0,True
icebergs,snowflakes,icebergs and snowflakes,0,snowflakes and icebergs,0,True
jacket,phone,jacket and phone,0,phone and jacket,0,True
jaguars,rabbits,jaguars and rabbits,0,rabbits and jaguars,0,True
kaisers,peasants,kaisers and peasants,0,peasants and kaisers,0,True
kale,vegetables,kale and vegetables,0,vegetables and kale,0,True
kazoos,lutes,kazoos and lutes,0,lutes and kazoos,0,True
kazoos,organs,kazoos and organs,0,organs and kazoos,0,True
kazoos,pianos,kazoos and pianos,0,pianos and kazoos,0,True
kazoos,saxophones,kazoos and saxophones,0,saxophones and kazoos,0,True
kazoos,trumpets,kazoos and trumpets,0,trumpets and kazoos,0,True
kazoos,violas,kazoos and violas,0,violas and kazoos,0,True
kazoos,violins,kazoos and violins,0,violins and kazoos,0,True
khans,weavers,khans and weavers,0,weavers and khans,0,True
